A,B,Corr,Sharpe,MaxDD,Bars,Trades,Err
SPY,QQQ,0.9388485031076526,2.0751078582217133,-0.08202365204866974,4608,34,
SPY,DIA,0.8187792005135874,1.7826198978826944,-0.22145768974833488,4608,31,
SPY,IWM,0.7839902833268084,0.6007749046682686,-0.2282725838168026,4608,30,
SPY,MDY,0.7538238472353443,2.306349343160989,-0.10412338663636295,4608,22,
SPY,RSP,0.7524912380135732,2.2817948396784034,-0.1262453003452195,4608,27,
SPY,VTI,0.9901611113875344,-3.028778809340747,-0.11161923433718998,4608,39,
SPY,XLF,0.6039358764027873,4.483320270339926,-0.12011661070476243,4608,34,
SPY,XLI,0.6996433231414424,5.577378648554345,-0.06230642554998856,4608,28,
SPY,XLK,0.8671136580599536,0.32693151237557044,-0.2825330095550149,4608,38,
SPY,XLY,0.7253555869088325,1.2125488340512416,-0.13047698167056293,4608,28,
QQQ,DIA,0.6445181036095935,0.4597524402949753,-0.24479733350033284,4608,31,
QQQ,IWM,0.6812152362027506,2.189381410343584,-0.09053967965853647,4608,26,
QQQ,MDY,0.6125347509802201,0.7223665360855274,-0.16380526991643737,4608,30,
QQQ,VTI,0.9260814715944841,-0.6394438355107231,-0.3248327215272531,4608,37,
QQQ,XLK,0.9485621601135481,-0.8164819438610129,-0.24030559716692057,4608,39,
QQQ,XLY,0.6692455677901575,4.611588884880009,-0.049991806195220305,4608,30,
DIA,IWM,0.7896464352609555,-0.35469397169095473,-0.2502590150247539,4608,27,
DIA,MDY,0.7999185808327516,0.7076244461464252,-0.22556682255122681,4608,31,
DIA,RSP,0.857146604801083,-2.364080510740274,-0.20230083324830653,4608,31,
DIA,VTI,0.8343328616980681,2.0242430130491504,-0.18375335610113502,4608,32,
DIA,XLB,0.6437470271905132,2.2601403368268356,-0.2842211655791342,4608,33,
DIA,XLF,0.8116231770561906,1.5461402437625285,-0.09968252996133721,4608,28,
DIA,XLI,0.7462123939351814,2.66480971321125,-0.1508507868969563,4608,33,
DIA,XLY,0.6602016993494808,-0.13244269722580881,-0.2675862328230036,4608,31,
IWM,MDY,0.9073029206700474,-1.2130278262647682,-0.24317268712292403,4608,37,
IWM,RSP,0.8269258517194711,1.4445286894851967,-0.20382067133922224,4608,35,
IWM,VTI,0.8317448041405199,0.07779070817220737,-0.3095707585288283,4608,31,
IWM,XLB,0.6120404972072964,0.30169669092898244,-0.29874312293745103,4608,31,
IWM,XLF,0.633958877406403,2.8970029728730924,-0.12180400201873617,4608,28,
IWM,XLI,0.7498795255065994,2.4450211381846443,-0.29631415807537154,4608,40,
IWM,XLK,0.6505359284185679,2.919802427735105,-0.136403229589897,4608,36,
IWM,XLY,0.6063153074727116,1.0628256386036117,-0.2071992745665052,4608,31,
MDY,RSP,0.8901044219817954,2.1037591562575524,-0.09954460439108528,4608,37,
MDY,VTI,0.8007633098287934,0.6208724263954416,-0.20682187276633734,4608,36,
MDY,XLB,0.6808904445927173,-0.57949021034572,-0.3109361274686169,4608,38,
MDY,XLF,0.6744099705615627,0.5161460696711458,-0.26524284490333006,4608,37,
MDY,XLI,0.8083784808876041,-1.0653714548117545,-0.3558713400144958,4608,35,
RSP,VTI,0.7891713580558107,1.542063588913613,-0.2602543435550276,4608,33,
RSP,XLB,0.7536466882317868,-2.147021268670025,-0.5722169737473455,4608,37,
RSP,XLF,0.7580269349508258,0.441906696279819,-0.22856676126582828,4608,31,
RSP,XLI,0.8194558205242792,-0.4908877696086997,-0.2795184064944855,4608,34,
RSP,XLY,0.6328312424081171,-0.28139997200785294,-0.5159374803390893,4608,39,
VTI,XLF,0.6277625312202081,5.082178523414294,-0.05645889869637193,4608,28,
VTI,XLI,0.7310850581245342,6.087425537044944,-0.05801414994510815,4608,25,
VTI,XLK,0.8626494694373682,-0.221725604098043,-0.2916043905173134,4608,48,
VTI,XLY,0.721602952943807,0.5999151031841624,-0.14209485583443027,4608,31,
XLB,XLI,0.6294673413383205,-0.47306955605274564,-0.33920476309757064,4608,37,
XLE,USO,0.6077712082904352,-0.3242192165348634,-0.2858372778966105,4608,33,
XLF,XLI,0.6014400858385106,1.888320188783961,-0.14120787640300003,4608,37,
GLD,SLV,0.8302468224266574,-0.9833094879519797,-0.303319479972876,4608,22,
